id,filtered_entities
e29896ab781b5dbb97ae3f3f7862fa681e9d70a5e63866024e2473b317a25637,"[{'PERS': 'Тарас Шевченко'}, {'ORG': 'департамент культури і туризму Кіровоградської ОДА'}, {'LOC': 'Кіровоградщини'}, {'LOC': 'Черкащини'}, {'LOC': 'Моринці'}, {'LOC': 'Черкаської області'}]"
e29896ab781b5dbb97ae3f3f7862fa681e9d70a5e63866024e2473b317a25637,"[{'PERS': 'Т. Шевченко'}, {'PERS': 'Олександр Кониський'}, {'PERS': 'Катерині Бойко'}]"
e29896ab781b5dbb97ae3f3f7862fa681e9d70a5e63866024e2473b317a25637,"[{'PERS': 'Тарас Шевченко'}, {'LOC': 'Кирилівка'}, {'LOC': 'Шевченкове'}, {'LOC': 'Звенигородського району'}, {'LOC': 'місці'}, {'LOC': 'хатини'}, {'LOC': 'Енгельгарта'}, {'DATE': '1929 року'}, {'DATE': '1908 року'}, {'DATE': '1939 року'}]"
e29896ab781b5dbb97ae3f3f7862fa681e9d70a5e63866024e2473b317a25637,"[{'PERS': 'Тарас Шевченко'}, {'PERS': 'Кобзар'}, {'ORG': 'музей'}, {'LOC': 'Чернівців'}, {'LOC': 'Кіровоградщині'}, {'LOC': 'Єлисаветграду'}, {'DATE': '1989'}, {'DATE': '175-р іччя'}]"
e29896ab781b5dbb97ae3f3f7862fa681e9d70a5e63866024e2473b317a25637,"[{'PERS': 'Тарас Шевченко'}, {'PERS': 'В’ячеслав Шкода'}, {'PERS': 'Євген Шкода'}, {'ORG': 'Кобзарева світлиця'}, {'LOC': 'Знам’янці'}]"
d67655fe3fe45e95cd63613c2189fe86728293bd0b8d3cdf28598c5a63c651c7,"[{'JOB': 'чемпіонами світу'}, {'PERS': 'Руслан Пономарьов'}, {'LOC': 'Чернівців'}, {'LOC': 'Кіровоградщина'}, {'LOC': 'Павлівка'}, {'LOC': 'Кремгесівського'}, {'LOC': 'Світловодського'}, {'DATE': 'XX столітті'}]"
d67655fe3fe45e95cd63613c2189fe86728293bd0b8d3cdf28598c5a63c651c7,"[{'PERS': 'Іван'}, {'PERS': 'Микола'}, {'ORG': '“у діда Миколи”'}, {'LOC': 'Будинку культури'}, {'LOC': 'Світловодськ'}, {'ORG': 'завод чистих металів'}]"
d67655fe3fe45e95cd63613c2189fe86728293bd0b8d3cdf28598c5a63c651c7,"[{'LOC': 'Кіровоградщини'}, {'LOC': 'парку Т. Шевченка'}, {'LOC': 'міський Будинок культури'}, {'LOC': 'Степанівці'}, {'LOC': 'Устинівці'}, {'PERS': 'Віктор'}]"
d67655fe3fe45e95cd63613c2189fe86728293bd0b8d3cdf28598c5a63c651c7,"[{'LOC': 'Кіровограді'}, {'PERS': 'Комісаров'}, {'LOC': 'вул. Гагаріна'}, {'LOC': 'Біла тура'}, {'LOC': 'Критого ринку'}, {'LOC': 'парк ім. В. Леніна'}, {'PERS': 'Дубівка'}]"
d67655fe3fe45e95cd63613c2189fe86728293bd0b8d3cdf28598c5a63c651c7,"[{'LOC': 'бібліотека Д. Чижевського'}, {'LOC': 'центр міста'}, {'LOC': 'Ковалівський парк'}]"
d67655fe3fe45e95cd63613c2189fe86728293bd0b8d3cdf28598c5a63c651c7,[]
b2c68352957ed341637aa9dd25b8a8ac00c32e8129d689811386ab4f8136c9a6,"[{'PERS': 'Амвросій Ждаха'}, {'DATE': '6 грудня 1855'}, {'DATE': '1873'}, {'LOC': 'Ізмаїлі'}, {'LOC': 'Єлисаветградського'}, {'ORG': 'Єлисаветградського кавалерійського училища'}, {'ART': 'Одеську рисувальну школу'}]"
b2c68352957ed341637aa9dd25b8a8ac00c32e8129d689811386ab4f8136c9a6,"[{'PERS': 'М. Кропивницький'}, {'PERS': 'М. Старицького'}, {'LOC': 'Кропивницького'}, {'LOC': 'Старицького'}]"
b2c68352957ed341637aa9dd25b8a8ac00c32e8129d689811386ab4f8136c9a6,"[{'PERS': 'Лисенка'}, {'PERS': 'Ждаха'}, {'PERS': 'Т Шевченкові'}, {'ORG': 'Час'}, {'PERS': 'Амвросій Андрійович'}, {'LOC': 'Києві'}, {'LOC': 'Лейпцигу'}, {'DATE': '1911–1912 роках'}]"
b2c68352957ed341637aa9dd25b8a8ac00c32e8129d689811386ab4f8136c9a6,"[{'PERS': 'Іван Підгорський'}, {'ART': '«Ой на горі вогонь горить»'}, {'ART': '«За Сибіром сонце сходить»'}, {'ART': '«Ой не знав козак»'}, {'ART': '«Ой не гаразд запорожці»'}, {'ART': '«Ой не світи місяченьку»'}, {'ART': '«Засвистали козаченьки»'}, {'ART': '«Ой ти дівчино»'}, {'ART': '«Три сестроньки»'}, {'PERS': 'Ф. Равіти-Гавронський'}, {'ART': '«При битій дорозі»'}]"
b2c68352957ed341637aa9dd25b8a8ac00c32e8129d689811386ab4f8136c9a6,"[{'PERS': 'Taras Shevchenko'}, {'LOC': 'Kyiv'}, {'LOC': 'Харкові'}, {'PERS': 'Manizer'}, {'DATE': '1920'}, {'DATE': '100-р іччя'}]"
b2c68352957ed341637aa9dd25b8a8ac00c32e8129d689811386ab4f8136c9a6,"[{'PERS': 'Тарас Шевченко'}, {'ORG': 'Дніпро'}, {'PERS': 'Єлисаветградського'}, {'PERS': 'Чикаленка'}, {'DATE': '1901 року'}, {'DATE': '1903 року'}, {'PERIOD': '1911–1914 рр'}]"
b2c68352957ed341637aa9dd25b8a8ac00c32e8129d689811386ab4f8136c9a6,"[{'PERS': 'Іван Підкова'}, {'PERS': 'Шевченка'}]"
